file,bool0//0@1,bool0//1@2,bool0@0,bool9//0@4,bool9//1@5,bool9@3,bool4//0@7,bool4//1@8,bool4@6,bool1//0@10,bool1//1@11,bool1@9,bool5//0@13,bool5//1@14,bool5@12,bool8//0@16,bool8//1@17,bool8@15,bool2//0@19,bool2//1@20,bool2@18,bool7//0@22,bool7//1@23,bool7@21,bool3//0@25,bool3//1@26,bool3@24,bool6//0@28,bool6//1@29,bool6@27,EXPRESSION@30,abs_file,status,prediction,line,subject,oracle
toydatatest.15.expr,1.0,0.0,1.0,0.0,1.0,1.0,0.0,1.0,1.0,0.0,1.0,1.0,0.0,1.0,1.0,0.0,1.0,1.0,0.0,1.0,1.0,1.0,0.0,1.0,0.0,1.0,1.0,0.0,1.0,1.0,1.0,/vol/fob-vol4/mi10/buchwind/alhazen/alhazen-dbgbench/parsers/build/dist/testsamples/toydata/test1/toydatatest.15.expr,valid,BUG,testsamples/toydata/test1/toydatatest.15.expr,toydata,BUG
toydatatest.24.expr,1.0,0.0,1.0,1.0,0.0,1.0,0.0,1.0,1.0,0.0,1.0,1.0,1.0,0.0,1.0,0.0,1.0,1.0,0.0,1.0,1.0,1.0,0.0,1.0,0.0,1.0,1.0,0.0,1.0,1.0,1.0,/vol/fob-vol4/mi10/buchwind/alhazen/alhazen-dbgbench/parsers/build/dist/testsamples/toydata/test1/toydatatest.24.expr,valid,BUG,testsamples/toydata/test1/toydatatest.24.expr,toydata,BUG
toydatatest.86.expr,1.0,0.0,1.0,1.0,0.0,1.0,1.0,0.0,1.0,1.0,0.0,1.0,1.0,0.0,1.0,0.0,1.0,1.0,0.0,1.0,1.0,0.0,1.0,1.0,0.0,1.0,1.0,1.0,0.0,1.0,1.0,/vol/fob-vol4/mi10/buchwind/alhazen/alhazen-dbgbench/parsers/build/dist/testsamples/toydata/test1/toydatatest.86.expr,valid,NO_BUG,testsamples/toydata/test1/toydatatest.86.expr,toydata,NO_BUG
toydatatest.63.expr,1.0,0.0,1.0,1.0,0.0,1.0,1.0,0.0,1.0,1.0,0.0,1.0,0.0,1.0,1.0,1.0,0.0,1.0,0.0,1.0,1.0,1.0,0.0,1.0,0.0,1.0,1.0,0.0,1.0,1.0,1.0,/vol/fob-vol4/mi10/buchwind/alhazen/alhazen-dbgbench/parsers/build/dist/testsamples/toydata/test1/toydatatest.63.expr,valid,NO_BUG,testsamples/toydata/test1/toydatatest.63.expr,toydata,NO_BUG
toydatatest.28.expr,0.0,1.0,1.0,0.0,1.0,1.0,0.0,1.0,1.0,0.0,1.0,1.0,1.0,0.0,1.0,1.0,0.0,1.0,1.0,0.0,1.0,1.0,0.0,1.0,1.0,0.0,1.0,1.0,0.0,1.0,1.0,/vol/fob-vol4/mi10/buchwind/alhazen/alhazen-dbgbench/parsers/build/dist/testsamples/toydata/test1/toydatatest.28.expr,valid,BUG,testsamples/toydata/test1/toydatatest.28.expr,toydata,BUG
toydatatest.19.expr,1.0,0.0,1.0,0.0,1.0,1.0,0.0,1.0,1.0,0.0,1.0,1.0,0.0,1.0,1.0,0.0,1.0,1.0,1.0,0.0,1.0,0.0,1.0,1.0,1.0,0.0,1.0,1.0,0.0,1.0,1.0,/vol/fob-vol4/mi10/buchwind/alhazen/alhazen-dbgbench/parsers/build/dist/testsamples/toydata/test1/toydatatest.19.expr,valid,BUG,testsamples/toydata/test1/toydatatest.19.expr,toydata,BUG
toydatatest.52.expr,1.0,0.0,1.0,0.0,1.0,1.0,1.0,0.0,1.0,1.0,0.0,1.0,0.0,1.0,1.0,0.0,1.0,1.0,0.0,1.0,1.0,0.0,1.0,1.0,0.0,1.0,1.0,0.0,1.0,1.0,1.0,/vol/fob-vol4/mi10/buchwind/alhazen/alhazen-dbgbench/parsers/build/dist/testsamples/toydata/test1/toydatatest.52.expr,valid,NO_BUG,testsamples/toydata/test1/toydatatest.52.expr,toydata,NO_BUG
toydatatest.92.expr,1.0,0.0,1.0,1.0,0.0,1.0,0.0,1.0,1.0,1.0,0.0,1.0,0.0,1.0,1.0,1.0,0.0,1.0,1.0,0.0,1.0,1.0,0.0,1.0,0.0,1.0,1.0,1.0,0.0,1.0,1.0,/vol/fob-vol4/mi10/buchwind/alhazen/alhazen-dbgbench/parsers/build/dist/testsamples/toydata/test1/toydatatest.92.expr,valid,NO_BUG,testsamples/toydata/test1/toydatatest.92.expr,toydata,NO_BUG
toydatatest.30.expr,1.0,0.0,1.0,0.0,1.0,1.0,1.0,0.0,1.0,0.0,1.0,1.0,0.0,1.0,1.0,0.0,1.0,1.0,0.0,1.0,1.0,1.0,0.0,1.0,1.0,0.0,1.0,0.0,1.0,1.0,1.0,/vol/fob-vol4/mi10/buchwind/alhazen/alhazen-dbgbench/parsers/build/dist/testsamples/toydata/test1/toydatatest.30.expr,valid,BUG,testsamples/toydata/test1/toydatatest.30.expr,toydata,BUG
toydatatest.100.expr,0.0,1.0,1.0,1.0,0.0,1.0,0.0,1.0,1.0,0.0,1.0,1.0,1.0,0.0,1.0,0.0,1.0,1.0,0.0,1.0,1.0,0.0,1.0,1.0,1.0,0.0,1.0,0.0,1.0,1.0,1.0,/vol/fob-vol4/mi10/buchwind/alhazen/alhazen-dbgbench/parsers/build/dist/testsamples/toydata/test1/toydatatest.100.expr,valid,NO_BUG,testsamples/toydata/test1/toydatatest.100.expr,toydata,NO_BUG
toydatatest.9.expr,0.0,1.0,1.0,1.0,0.0,1.0,1.0,0.0,1.0,0.0,1.0,1.0,1.0,0.0,1.0,1.0,0.0,1.0,1.0,0.0,1.0,0.0,1.0,1.0,0.0,1.0,1.0,1.0,0.0,1.0,1.0,/vol/fob-vol4/mi10/buchwind/alhazen/alhazen-dbgbench/parsers/build/dist/testsamples/toydata/test1/toydatatest.9.expr,valid,BUG,testsamples/toydata/test1/toydatatest.9.expr,toydata,BUG
toydatatest.56.expr,1.0,0.0,1.0,0.0,1.0,1.0,0.0,1.0,1.0,1.0,0.0,1.0,1.0,0.0,1.0,0.0,1.0,1.0,0.0,1.0,1.0,1.0,0.0,1.0,1.0,0.0,1.0,0.0,1.0,1.0,1.0,/vol/fob-vol4/mi10/buchwind/alhazen/alhazen-dbgbench/parsers/build/dist/testsamples/toydata/test1/toydatatest.56.expr,valid,NO_BUG,testsamples/toydata/test1/toydatatest.56.expr,toydata,NO_BUG
toydatatest.67.expr,1.0,0.0,1.0,1.0,0.0,1.0,0.0,1.0,1.0,1.0,0.0,1.0,0.0,1.0,1.0,1.0,0.0,1.0,1.0,0.0,1.0,0.0,1.0,1.0,0.0,1.0,1.0,1.0,0.0,1.0,1.0,/vol/fob-vol4/mi10/buchwind/alhazen/alhazen-dbgbench/parsers/build/dist/testsamples/toydata/test1/toydatatest.67.expr,valid,NO_BUG,testsamples/toydata/test1/toydatatest.67.expr,toydata,NO_BUG
toydatatest.96.expr,0.0,1.0,1.0,1.0,0.0,1.0,0.0,1.0,1.0,0.0,1.0,1.0,1.0,0.0,1.0,1.0,0.0,1.0,0.0,1.0,1.0,0.0,1.0,1.0,0.0,1.0,1.0,0.0,1.0,1.0,1.0,/vol/fob-vol4/mi10/buchwind/alhazen/alhazen-dbgbench/parsers/build/dist/testsamples/toydata/test1/toydatatest.96.expr,valid,NO_BUG,testsamples/toydata/test1/toydatatest.96.expr,toydata,NO_BUG
toydatatest.34.expr,0.0,1.0,1.0,0.0,1.0,1.0,0.0,1.0,1.0,0.0,1.0,1.0,0.0,1.0,1.0,0.0,1.0,1.0,1.0,0.0,1.0,0.0,1.0,1.0,1.0,0.0,1.0,1.0,0.0,1.0,1.0,/vol/fob-vol4/mi10/buchwind/alhazen/alhazen-dbgbench/parsers/build/dist/testsamples/toydata/test1/toydatatest.34.expr,valid,BUG,testsamples/toydata/test1/toydatatest.34.expr,toydata,BUG
toydatatest.29.expr,1.0,0.0,1.0,1.0,0.0,1.0,0.0,1.0,1.0,0.0,1.0,1.0,0.0,1.0,1.0,0.0,1.0,1.0,0.0,1.0,1.0,1.0,0.0,1.0,0.0,1.0,1.0,0.0,1.0,1.0,1.0,/vol/fob-vol4/mi10/buchwind/alhazen/alhazen-dbgbench/parsers/build/dist/testsamples/toydata/test1/toydatatest.29.expr,valid,BUG,testsamples/toydata/test1/toydatatest.29.expr,toydata,BUG
toydatatest.62.expr,1.0,0.0,1.0,1.0,0.0,1.0,1.0,0.0,1.0,1.0,0.0,1.0,1.0,0.0,1.0,0.0,1.0,1.0,1.0,0.0,1.0,0.0,1.0,1.0,0.0,1.0,1.0,0.0,1.0,1.0,1.0,/vol/fob-vol4/mi10/buchwind/alhazen/alhazen-dbgbench/parsers/build/dist/testsamples/toydata/test1/toydatatest.62.expr,valid,NO_BUG,testsamples/toydata/test1/toydatatest.62.expr,toydata,NO_BUG
toydatatest.53.expr,1.0,0.0,1.0,0.0,1.0,1.0,1.0,0.0,1.0,1.0,0.0,1.0,0.0,1.0,1.0,1.0,0.0,1.0,0.0,1.0,1.0,0.0,1.0,1.0,1.0,0.0,1.0,0.0,1.0,1.0,1.0,/vol/fob-vol4/mi10/buchwind/alhazen/alhazen-dbgbench/parsers/build/dist/testsamples/toydata/test1/toydatatest.53.expr,valid,NO_BUG,testsamples/toydata/test1/toydatatest.53.expr,toydata,NO_BUG
toydatatest.18.expr,1.0,0.0,1.0,1.0,0.0,1.0,1.0,0.0,1.0,0.0,1.0,1.0,1.0,0.0,1.0,0.0,1.0,1.0,0.0,1.0,1.0,0.0,1.0,1.0,1.0,0.0,1.0,1.0,0.0,1.0,1.0,/vol/fob-vol4/mi10/buchwind/alhazen/alhazen-dbgbench/parsers/build/dist/testsamples/toydata/test1/toydatatest.18.expr,valid,BUG,testsamples/toydata/test1/toydatatest.18.expr,toydata,BUG
toydatatest.93.expr,0.0,1.0,1.0,0.0,1.0,1.0,0.0,1.0,1.0,1.0,0.0,1.0,1.0,0.0,1.0,1.0,0.0,1.0,0.0,1.0,1.0,0.0,1.0,1.0,1.0,0.0,1.0,0.0,1.0,1.0,1.0,/vol/fob-vol4/mi10/buchwind/alhazen/alhazen-dbgbench/parsers/build/dist/testsamples/toydata/test1/toydatatest.93.expr,valid,NO_BUG,testsamples/toydata/test1/toydatatest.93.expr,toydata,NO_BUG
toydatatest.31.expr,0.0,1.0,1.0,0.0,1.0,1.0,1.0,0.0,1.0,1.0,0.0,1.0,0.0,1.0,1.0,0.0,1.0,1.0,1.0,0.0,1.0,1.0,0.0,1.0,1.0,0.0,1.0,1.0,0.0,1.0,1.0,/vol/fob-vol4/mi10/buchwind/alhazen/alhazen-dbgbench/parsers/build/dist/testsamples/toydata/test1/toydatatest.31.expr,valid,BUG,testsamples/toydata/test1/toydatatest.31.expr,toydata,BUG
toydatatest.8.expr,1.0,0.0,1.0,1.0,0.0,1.0,0.0,1.0,1.0,0.0,1.0,1.0,1.0,0.0,1.0,1.0,0.0,1.0,0.0,1.0,1.0,1.0,0.0,1.0,0.0,1.0,1.0,1.0,0.0,1.0,1.0,/vol/fob-vol4/mi10/buchwind/alhazen/alhazen-dbgbench/parsers/build/dist/testsamples/toydata/test1/toydatatest.8.expr,valid,BUG,testsamples/toydata/test1/toydatatest.8.expr,toydata,BUG
toydatatest.57.expr,1.0,0.0,1.0,0.0,1.0,1.0,0.0,1.0,1.0,1.0,0.0,1.0,1.0,0.0,1.0,0.0,1.0,1.0,0.0,1.0,1.0,0.0,1.0,1.0,0.0,1.0,1.0,1.0,0.0,1.0,1.0,/vol/fob-vol4/mi10/buchwind/alhazen/alhazen-dbgbench/parsers/build/dist/testsamples/toydata/test1/toydatatest.57.expr,valid,NO_BUG,testsamples/toydata/test1/toydatatest.57.expr,toydata,NO_BUG
toydatatest.66.expr,1.0,0.0,1.0,1.0,0.0,1.0,0.0,1.0,1.0,1.0,0.0,1.0,1.0,0.0,1.0,1.0,0.0,1.0,0.0,1.0,1.0,1.0,0.0,1.0,0.0,1.0,1.0,1.0,0.0,1.0,1.0,/vol/fob-vol4/mi10/buchwind/alhazen/alhazen-dbgbench/parsers/build/dist/testsamples/toydata/test1/toydatatest.66.expr,valid,NO_BUG,testsamples/toydata/test1/toydatatest.66.expr,toydata,NO_BUG
toydatatest.97.expr,0.0,1.0,1.0,1.0,0.0,1.0,0.0,1.0,1.0,0.0,1.0,1.0,1.0,0.0,1.0,1.0,0.0,1.0,0.0,1.0,1.0,0.0,1.0,1.0,1.0,0.0,1.0,1.0,0.0,1.0,1.0,/vol/fob-vol4/mi10/buchwind/alhazen/alhazen-dbgbench/parsers/build/dist/testsamples/toydata/test1/toydatatest.97.expr,valid,NO_BUG,testsamples/toydata/test1/toydatatest.97.expr,toydata,NO_BUG
toydatatest.35.expr,0.0,1.0,1.0,0.0,1.0,1.0,0.0,1.0,1.0,1.0,0.0,1.0,0.0,1.0,1.0,1.0,0.0,1.0,1.0,0.0,1.0,1.0,0.0,1.0,1.0,0.0,1.0,1.0,0.0,1.0,1.0,/vol/fob-vol4/mi10/buchwind/alhazen/alhazen-dbgbench/parsers/build/dist/testsamples/toydata/test1/toydatatest.35.expr,valid,BUG,testsamples/toydata/test1/toydatatest.35.expr,toydata,BUG
toydatatest.72.expr,0.0,1.0,1.0,0.0,1.0,1.0,1.0,0.0,1.0,0.0,1.0,1.0,1.0,0.0,1.0,0.0,1.0,1.0,0.0,1.0,1.0,0.0,1.0,1.0,1.0,0.0,1.0,0.0,1.0,1.0,1.0,/vol/fob-vol4/mi10/buchwind/alhazen/alhazen-dbgbench/parsers/build/dist/testsamples/toydata/test1/toydatatest.72.expr,valid,NO_BUG,testsamples/toydata/test1/toydatatest.72.expr,toydata,NO_BUG
toydatatest.39.expr,0.0,1.0,1.0,0.0,1.0,1.0,0.0,1.0,1.0,1.0,0.0,1.0,1.0,0.0,1.0,0.0,1.0,1.0,1.0,0.0,1.0,1.0,0.0,1.0,0.0,1.0,1.0,0.0,1.0,1.0,1.0,/vol/fob-vol4/mi10/buchwind/alhazen/alhazen-dbgbench/parsers/build/dist/testsamples/toydata/test1/toydatatest.39.expr,valid,BUG,testsamples/toydata/test1/toydatatest.39.expr,toydata,BUG
toydatatest.43.expr,1.0,0.0,1.0,1.0,0.0,1.0,1.0,0.0,1.0,0.0,1.0,1.0,0.0,1.0,1.0,1.0,0.0,1.0,0.0,1.0,1.0,1.0,0.0,1.0,0.0,1.0,1.0,1.0,0.0,1.0,1.0,/vol/fob-vol4/mi10/buchwind/alhazen/alhazen-dbgbench/parsers/build/dist/testsamples/toydata/test1/toydatatest.43.expr,valid,BUG,testsamples/toydata/test1/toydatatest.43.expr,toydata,BUG
toydatatest.21.expr,0.0,1.0,1.0,0.0,1.0,1.0,0.0,1.0,1.0,0.0,1.0,1.0,1.0,0.0,1.0,0.0,1.0,1.0,1.0,0.0,1.0,1.0,0.0,1.0,1.0,0.0,1.0,0.0,1.0,1.0,1.0,/vol/fob-vol4/mi10/buchwind/alhazen/alhazen-dbgbench/parsers/build/dist/testsamples/toydata/test1/toydatatest.21.expr,valid,BUG,testsamples/toydata/test1/toydatatest.21.expr,toydata,BUG
toydatatest.83.expr,1.0,0.0,1.0,0.0,1.0,1.0,0.0,1.0,1.0,1.0,0.0,1.0,1.0,0.0,1.0,0.0,1.0,1.0,0.0,1.0,1.0,0.0,1.0,1.0,1.0,0.0,1.0,0.0,1.0,1.0,1.0,/vol/fob-vol4/mi10/buchwind/alhazen/alhazen-dbgbench/parsers/build/dist/testsamples/toydata/test1/toydatatest.83.expr,valid,NO_BUG,testsamples/toydata/test1/toydatatest.83.expr,toydata,NO_BUG
toydatatest.10.expr,0.0,1.0,1.0,1.0,0.0,1.0,0.0,1.0,1.0,1.0,0.0,1.0,0.0,1.0,1.0,0.0,1.0,1.0,1.0,0.0,1.0,0.0,1.0,1.0,1.0,0.0,1.0,1.0,0.0,1.0,1.0,/vol/fob-vol4/mi10/buchwind/alhazen/alhazen-dbgbench/parsers/build/dist/testsamples/toydata/test1/toydatatest.10.expr,valid,BUG,testsamples/toydata/test1/toydatatest.10.expr,toydata,BUG
toydatatest.47.expr,1.0,0.0,1.0,1.0,0.0,1.0,1.0,0.0,1.0,0.0,1.0,1.0,0.0,1.0,1.0,1.0,0.0,1.0,0.0,1.0,1.0,1.0,0.0,1.0,0.0,1.0,1.0,0.0,1.0,1.0,1.0,/vol/fob-vol4/mi10/buchwind/alhazen/alhazen-dbgbench/parsers/build/dist/testsamples/toydata/test1/toydatatest.47.expr,valid,BUG,testsamples/toydata/test1/toydatatest.47.expr,toydata,BUG
toydatatest.4.expr,1.0,0.0,1.0,0.0,1.0,1.0,0.0,1.0,1.0,0.0,1.0,1.0,1.0,0.0,1.0,0.0,1.0,1.0,1.0,0.0,1.0,1.0,0.0,1.0,0.0,1.0,1.0,0.0,1.0,1.0,1.0,/vol/fob-vol4/mi10/buchwind/alhazen/alhazen-dbgbench/parsers/build/dist/testsamples/toydata/test1/toydatatest.4.expr,valid,BUG,testsamples/toydata/test1/toydatatest.4.expr,toydata,BUG
toydatatest.76.expr,1.0,0.0,1.0,1.0,0.0,1.0,1.0,0.0,1.0,1.0,0.0,1.0,0.0,1.0,1.0,0.0,1.0,1.0,1.0,0.0,1.0,0.0,1.0,1.0,1.0,0.0,1.0,0.0,1.0,1.0,1.0,/vol/fob-vol4/mi10/buchwind/alhazen/alhazen-dbgbench/parsers/build/dist/testsamples/toydata/test1/toydatatest.76.expr,valid,NO_BUG,testsamples/toydata/test1/toydatatest.76.expr,toydata,NO_BUG
toydatatest.14.expr,1.0,0.0,1.0,1.0,0.0,1.0,1.0,0.0,1.0,0.0,1.0,1.0,1.0,0.0,1.0,1.0,0.0,1.0,1.0,0.0,1.0,0.0,1.0,1.0,0.0,1.0,1.0,1.0,0.0,1.0,1.0,/vol/fob-vol4/mi10/buchwind/alhazen/alhazen-dbgbench/parsers/build/dist/testsamples/toydata/test1/toydatatest.14.expr,valid,BUG,testsamples/toydata/test1/toydatatest.14.expr,toydata,BUG
toydatatest.25.expr,0.0,1.0,1.0,0.0,1.0,1.0,1.0,0.0,1.0,0.0,1.0,1.0,0.0,1.0,1.0,0.0,1.0,1.0,1.0,0.0,1.0,1.0,0.0,1.0,1.0,0.0,1.0,0.0,1.0,1.0,1.0,/vol/fob-vol4/mi10/buchwind/alhazen/alhazen-dbgbench/parsers/build/dist/testsamples/toydata/test1/toydatatest.25.expr,valid,BUG,testsamples/toydata/test1/toydatatest.25.expr,toydata,BUG
toydatatest.87.expr,1.0,0.0,1.0,1.0,0.0,1.0,1.0,0.0,1.0,1.0,0.0,1.0,0.0,1.0,1.0,0.0,1.0,1.0,0.0,1.0,1.0,1.0,0.0,1.0,0.0,1.0,1.0,1.0,0.0,1.0,1.0,/vol/fob-vol4/mi10/buchwind/alhazen/alhazen-dbgbench/parsers/build/dist/testsamples/toydata/test1/toydatatest.87.expr,valid,NO_BUG,testsamples/toydata/test1/toydatatest.87.expr,toydata,NO_BUG
toydatatest.89.expr,1.0,0.0,1.0,0.0,1.0,1.0,0.0,1.0,1.0,1.0,0.0,1.0,1.0,0.0,1.0,1.0,0.0,1.0,1.0,0.0,1.0,1.0,0.0,1.0,1.0,0.0,1.0,0.0,1.0,1.0,1.0,/vol/fob-vol4/mi10/buchwind/alhazen/alhazen-dbgbench/parsers/build/dist/testsamples/toydata/test1/toydatatest.89.expr,valid,NO_BUG,testsamples/toydata/test1/toydatatest.89.expr,toydata,NO_BUG
toydatatest.60.expr,0.0,1.0,1.0,0.0,1.0,1.0,1.0,0.0,1.0,1.0,0.0,1.0,0.0,1.0,1.0,0.0,1.0,1.0,0.0,1.0,1.0,0.0,1.0,1.0,0.0,1.0,1.0,1.0,0.0,1.0,1.0,/vol/fob-vol4/mi10/buchwind/alhazen/alhazen-dbgbench/parsers/build/dist/testsamples/toydata/test1/toydatatest.60.expr,valid,NO_BUG,testsamples/toydata/test1/toydatatest.60.expr,toydata,NO_BUG
toydatatest.51.expr,0.0,1.0,1.0,0.0,1.0,1.0,1.0,0.0,1.0,1.0,0.0,1.0,1.0,0.0,1.0,0.0,1.0,1.0,0.0,1.0,1.0,0.0,1.0,1.0,1.0,0.0,1.0,1.0,0.0,1.0,1.0,/vol/fob-vol4/mi10/buchwind/alhazen/alhazen-dbgbench/parsers/build/dist/testsamples/toydata/test1/toydatatest.51.expr,valid,NO_BUG,testsamples/toydata/test1/toydatatest.51.expr,toydata,NO_BUG
toydatatest.33.expr,1.0,0.0,1.0,0.0,1.0,1.0,0.0,1.0,1.0,0.0,1.0,1.0,1.0,0.0,1.0,1.0,0.0,1.0,0.0,1.0,1.0,1.0,0.0,1.0,0.0,1.0,1.0,0.0,1.0,1.0,1.0,/vol/fob-vol4/mi10/buchwind/alhazen/alhazen-dbgbench/parsers/build/dist/testsamples/toydata/test1/toydatatest.33.expr,valid,BUG,testsamples/toydata/test1/toydatatest.33.expr,toydata,BUG
toydatatest.78.expr,1.0,0.0,1.0,1.0,0.0,1.0,1.0,0.0,1.0,1.0,0.0,1.0,0.0,1.0,1.0,0.0,1.0,1.0,1.0,0.0,1.0,0.0,1.0,1.0,0.0,1.0,1.0,1.0,0.0,1.0,1.0,/vol/fob-vol4/mi10/buchwind/alhazen/alhazen-dbgbench/parsers/build/dist/testsamples/toydata/test1/toydatatest.78.expr,valid,NO_BUG,testsamples/toydata/test1/toydatatest.78.expr,toydata,NO_BUG
toydatatest.91.expr,0.0,1.0,1.0,0.0,1.0,1.0,0.0,1.0,1.0,1.0,0.0,1.0,1.0,0.0,1.0,0.0,1.0,1.0,0.0,1.0,1.0,1.0,0.0,1.0,0.0,1.0,1.0,1.0,0.0,1.0,1.0,/vol/fob-vol4/mi10/buchwind/alhazen/alhazen-dbgbench/parsers/build/dist/testsamples/toydata/test1/toydatatest.91.expr,valid,NO_BUG,testsamples/toydata/test1/toydatatest.91.expr,toydata,NO_BUG
toydatatest.49.expr,0.0,1.0,1.0,1.0,0.0,1.0,0.0,1.0,1.0,1.0,0.0,1.0,1.0,0.0,1.0,0.0,1.0,1.0,1.0,0.0,1.0,1.0,0.0,1.0,1.0,0.0,1.0,0.0,1.0,1.0,1.0,/vol/fob-vol4/mi10/buchwind/alhazen/alhazen-dbgbench/parsers/build/dist/testsamples/toydata/test1/toydatatest.49.expr,valid,BUG,testsamples/toydata/test1/toydatatest.49.expr,toydata,BUG
